timestamp,blocks,ops_per_s,throughput_gib_s,elapsed_s,client_retcode,notes,raw_output
2025-11-20 13:18:54,496,77937.0,4.76,1.283,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.283 s  ops=77937 ops/s  throughput=4.76 GiB/s
"
2025-11-20 13:19:24,512,77869.0,4.75,1.284,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.284 s  ops=77869 ops/s  throughput=4.75 GiB/s
"
2025-11-20 13:19:54,528,77752.0,4.75,1.286,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.286 s  ops=77752 ops/s  throughput=4.75 GiB/s
"
2025-11-20 13:20:24,544,77722.0,4.74,1.287,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.287 s  ops=77722 ops/s  throughput=4.74 GiB/s
"
2025-11-20 13:20:54,560,77650.0,4.74,1.288,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.288 s  ops=77650 ops/s  throughput=4.74 GiB/s
"
2025-11-20 13:21:23,576,77578.0,4.73,1.289,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.289 s  ops=77578 ops/s  throughput=4.73 GiB/s
"
2025-11-20 13:21:53,592,77447.0,4.73,1.291,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.291 s  ops=77447 ops/s  throughput=4.73 GiB/s
"
2025-11-20 13:22:22,608,77157.0,4.71,1.296,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.296 s  ops=77157 ops/s  throughput=4.71 GiB/s
"
2025-11-20 13:22:52,624,76730.0,4.68,1.303,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.303 s  ops=76730 ops/s  throughput=4.68 GiB/s
"
2025-11-20 13:23:22,640,76645.0,4.68,1.305,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.305 s  ops=76645 ops/s  throughput=4.68 GiB/s
"
2025-11-20 13:23:52,656,76551.0,4.67,1.306,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.306 s  ops=76551 ops/s  throughput=4.67 GiB/s
"
2025-11-20 13:24:22,672,76389.0,4.66,1.309,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.309 s  ops=76389 ops/s  throughput=4.66 GiB/s
"
2025-11-20 13:24:52,688,76316.0,4.66,1.31,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.310 s  ops=76316 ops/s  throughput=4.66 GiB/s
"
2025-11-20 13:25:22,704,76191.0,4.65,1.312,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.312 s  ops=76191 ops/s  throughput=4.65 GiB/s
"
2025-11-20 13:25:52,720,76101.0,4.64,1.314,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.314 s  ops=76101 ops/s  throughput=4.64 GiB/s
"
2025-11-20 13:26:22,736,75951.0,4.64,1.317,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.317 s  ops=75951 ops/s  throughput=4.64 GiB/s
"
2025-11-20 13:26:51,752,75861.0,4.63,1.318,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.318 s  ops=75861 ops/s  throughput=4.63 GiB/s
"
2025-11-20 13:27:22,768,75714.0,4.62,1.321,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.321 s  ops=75714 ops/s  throughput=4.62 GiB/s
"
2025-11-20 13:27:52,784,75638.0,4.62,1.322,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.322 s  ops=75638 ops/s  throughput=4.62 GiB/s
"
2025-11-20 13:28:22,800,75477.0,4.61,1.325,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.325 s  ops=75477 ops/s  throughput=4.61 GiB/s
"
2025-11-20 13:28:52,816,75377.0,4.6,1.327,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.327 s  ops=75377 ops/s  throughput=4.60 GiB/s
"
2025-11-20 13:29:22,832,75247.0,4.59,1.329,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.329 s  ops=75247 ops/s  throughput=4.59 GiB/s
"
2025-11-20 13:29:52,848,75122.0,4.59,1.331,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.331 s  ops=75122 ops/s  throughput=4.59 GiB/s
"
2025-11-20 13:30:22,864,75028.0,4.58,1.333,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.333 s  ops=75028 ops/s  throughput=4.58 GiB/s
"
